Stock,Model,Window,Seed,MAE,MSE,RMSE,MAPE,R2,Epochs Run,Test Points
Infosys,LSTM,2,17,26.587671096925806,1253.7208609145343,35.407920878167,1.8813392523561394,0.967415079004525,22,615
Infosys,LSTM,2,18,34.565939206999495,2106.3599913038133,45.895097682691706,2.332725586411878,0.9452545011856964,15,615
Infosys,BiLSTM,2,16,27.36931668413364,1340.4512291903657,36.6121732377411,1.895117418004402,0.9651609072137526,16,615
Infosys,BiLSTM,2,17,24.975528971354162,1147.9396692319854,33.881258377338725,1.7552108279511442,0.9701643925728329,42,615
Infosys,BiLSTM,2,18,26.35338918794461,1217.3023915454862,34.889860870251205,1.86338042903248,0.968361615816795,13,615
Infosys,LSTM,3,16,30.38341569434548,1625.1966679968932,40.31372803396993,2.1245550099042108,0.9578106580640939,13,614
Infosys,LSTM,3,17,28.995189356104948,1465.5269931932175,38.282202042113745,2.045103488438204,0.9619556078044783,26,614
Infosys,LSTM,3,18,30.35774295570796,1623.265046914669,40.289763549997026,2.127103938659326,0.957860802039856,37,614
Infosys,BiLSTM,3,16,29.237981442131513,1520.7015812662503,38.99617393112112,2.0334292395105535,0.9605233014207499,39,614
Infosys,BiLSTM,3,17,27.520980785258043,1341.690907307357,36.62909918776815,1.9287179460724482,0.9651703344122323,22,614
Infosys,BiLSTM,3,18,27.002585743459893,1305.7755405676187,36.13551633182538,1.8937335327292697,0.9661026804586981,36,614
Infosys,LSTM,5,16,33.3564610699423,1860.437074366762,43.132784217654695,2.358707952919446,0.95181602828852,11,612
Infosys,LSTM,5,17,32.73585320765676,1804.9088552540375,42.484218896597795,2.3127009402114007,0.9532541689146022,22,612
Infosys,LSTM,5,18,40.711910272735395,2804.3266267867307,52.95589322055413,2.8183992493355596,0.9273699730474174,25,612
Infosys,BiLSTM,5,16,38.3676245196972,2511.8203856760233,50.11806446458226,2.5986076618638605,0.9349456726726825,12,612
Infosys,BiLSTM,5,17,36.30786252489277,2351.3008958395885,48.49021443383797,2.465234240798799,0.9391030111088952,29,612
Infosys,BiLSTM,5,18,31.44237463458691,1729.731661281579,41.59004281413496,2.176448426840875,0.955201203747237,42,612
Infosys,LSTM,10,16,25.96681939868204,1184.118450757895,34.411022227738236,1.8362607834880036,0.9694935582956037,79,607
Infosys,LSTM,10,17,30.54068963492329,1640.263957879222,40.50017231912998,2.1111838187978487,0.9577418823439179,56,607
Infosys,LSTM,10,18,61.62392932068575,6252.438508007387,79.07236247898116,4.238490436417575,0.8389184369749774,14,607
Infosys,BiLSTM,10,16,37.855367393430804,2371.46735078499,48.69771402011587,2.6651150772183043,0.9389038905319843,20,607
Infosys,BiLSTM,10,17,42.650353420703766,3120.270935700473,55.85938538598928,2.9200825894597453,0.9196124650021766,24,607
Infosys,BiLSTM,10,18,28.661561365771725,1447.721554274491,38.04893630936995,1.9905238166207768,0.9627023519721316,56,607
Infosys,LSTM,15,16,33.17471141118148,1812.446963850941,42.572843032277525,2.316491508840207,0.9535412104864485,37,602
Infosys,LSTM,15,17,33.82504789536181,1914.7888224912788,43.75830004114967,2.379707242298089,0.9509178626236813,58,602
Infosys,LSTM,15,18,26.33471416080512,1245.1765650850639,35.287059456478715,1.8564946492243495,0.968082157934387,72,602
Infosys,BiLSTM,15,16,29.898955589117005,1483.2776007876787,38.51334315257088,2.122033186102062,0.9619788698816635,34,602
Infosys,BiLSTM,15,17,32.587485684112856,1795.350180894062,42.37157279231044,2.2782754062473978,0.9539794554980789,34,602
Infosys,BiLSTM,15,18,27.28321589980014,1300.2037819516763,36.05833859111754,1.9208261442114245,0.9666716350683878,46,602
Infosys,LSTM,20,16,30.093565769930382,1488.485547708681,38.58089614963189,2.127661771428796,0.962077171714768,42,597
Infosys,LSTM,20,17,30.571509279797425,1653.9490466183004,40.66877237658275,2.1034345760534743,0.9578615823418767,74,597
Infosys,LSTM,20,18,48.919184341302866,4094.7686553375556,63.990379396730845,3.26633419340435,0.8956757028490089,19,597
Infosys,BiLSTM,20,16,33.200314929137875,1817.623543230308,42.63359641445122,2.367208228607821,0.9536915722001968,22,597
Infosys,BiLSTM,20,17,34.2329684310223,2000.9402381487478,44.73187049686999,2.3577857697364304,0.949021128772708,44,597
Infosys,BiLSTM,20,18,29.631223950154418,1495.4870308363304,38.67152739207918,2.065864258656577,0.9618987917212233,37,597
Infosys,LSTM,30,16,26.871035938165456,1292.6420130102654,35.953331041925246,1.8838037129579661,0.9675967165979763,63,587
Infosys,LSTM,30,17,29.94688964011925,1569.102255145827,39.61189537431688,2.0863553822212237,0.9606665538111046,53,587
Infosys,LSTM,30,18,82.93659123123403,11826.425764818665,108.74937133068248,5.371449406302864,0.7035412574917054,17,587
Infosys,BiLSTM,30,16,27.63286136971625,1311.645688205373,36.21664932327911,1.9492213062201118,0.9671203422678607,60,587
Infosys,BiLSTM,30,17,36.210823332024596,2182.8599323212743,46.72108659182997,2.539952207230461,0.9452811928577114,33,587
Infosys,BiLSTM,30,18,30.38344780631122,1589.4907695832558,39.86841819765685,2.119494468766238,0.9601554650449862,36,587
HDFC Bank,LSTM,1,16,10.54057807426947,203.32938642248288,14.259361360961538,1.3912752710483265,0.9334153868641646,30,616
HDFC Bank,LSTM,1,17,10.304912022181913,199.1502470071487,14.11206033884311,1.3620498345844936,0.9347839366154167,29,616
HDFC Bank,LSTM,1,18,11.192080311960972,218.18508918843992,14.771089641202504,1.4617245922752347,0.9285505651139189,23,616
HDFC Bank,BiLSTM,1,16,12.237448456999525,251.09243316467567,15.845896414045994,1.5870139260378189,0.9177743423232163,39,616
HDFC Bank,BiLSTM,1,17,10.955978690803809,210.93241670665392,14.523512547130393,1.4328146698600823,0.9309256098622329,20,616
HDFC Bank,BiLSTM,1,18,10.35354980865081,196.1033970879739,14.003692266255136,1.364726515191079,0.9357816936377572,19,616
HDFC Bank,LSTM,2,16,11.692899378334593,247.90812206512385,15.745098350443032,1.5367062825749505,0.9183336762135254,22,615
HDFC Bank,LSTM,2,17,11.670128402089675,247.89117643931868,15.74456021739949,1.5388612056475526,0.9183392584709853,32,615
HDFC Bank,LSTM,2,18,13.183287978753796,297.22931817478576,17.2403398509074,1.7161336231175577,0.9020862021998673,17,615
HDFC Bank,BiLSTM,2,16,13.442303814151405,297.8084849108034,17.257128524491073,1.7458338811209777,0.9018954120886118,20,615
HDFC Bank,BiLSTM,2,17,11.816071102483471,243.9574873317724,15.619138495185078,1.5419575398760215,0.9196351011632542,35,615
HDFC Bank,BiLSTM,2,18,11.560244081078494,236.3459229145649,15.373546204912024,1.5190822128866424,0.9221425159225576,16,615
HDFC Bank,LSTM,3,16,13.13219807280002,305.6830475742132,17.483793855288194,1.7281816014933271,0.8987053064424857,13,614
HDFC Bank,LSTM,3,17,12.772898820013475,294.9017243450534,17.17270288408477,1.6820471246381112,0.9022779312292009,23,614
HDFC Bank,LSTM,3,18,18.36831108366626,528.1081924727206,22.980604702068234,2.3654192779947616,0.8249999208453008,17,614
HDFC Bank,BiLSTM,3,16,13.286868912389288,303.3946019805633,17.41822614334087,1.7248369999312365,0.8994636324176137,41,614
HDFC Bank,BiLSTM,3,17,18.637826130522175,520.4015959494338,22.81231237620233,2.4014079938669717,0.8275536683932678,17,614
HDFC Bank,BiLSTM,3,18,12.311322240177102,265.6931441388898,16.300096445692883,1.6152503553474244,0.9119568264270614,27,614
HDFC Bank,LSTM,5,16,19.080746719260603,576.1712298212939,24.003567022867536,2.4631198569639685,0.8069033543508846,16,612
HDFC Bank,LSTM,5,17,17.69482481713387,505.33169636581897,22.479583990052372,2.293308305999415,0.8306443458853685,14,612
HDFC Bank,LSTM,5,18,32.19857857897389,1429.5407481813736,37.80926801964531,4.116891778803258,0.5209071383550914,14,612
HDFC Bank,BiLSTM,5,16,17.234481113408886,475.9401438689714,21.816052435511136,2.2298465034684134,0.8404945603768512,12,612
HDFC Bank,BiLSTM,5,17,15.646958394767394,417.52953254702265,20.433539403319795,2.0131362968307713,0.8600701527230377,50,612
HDFC Bank,BiLSTM,5,18,15.216792786043436,397.4540774781991,19.93625033646496,1.9741621607148885,0.8667981926407401,11,612
HDFC Bank,LSTM,10,16,27.753831137542456,1083.7270723535821,32.9200102119301,3.567759306730883,0.6289072882751234,25,607
HDFC Bank,LSTM,10,17,36.39429987949828,1723.3941562920606,41.51378272684941,4.685124280379161,0.4098707809888804,17,607
HDFC Bank,LSTM,10,18,46.08498094737822,2771.0182817368823,52.64046240048507,5.8811427935503,0.05114053654142914,13,607
HDFC Bank,BiLSTM,10,16,23.919111324102897,842.0898514451533,29.018784458435768,3.070265262825523,0.7116493493051498,24,607
HDFC Bank,BiLSTM,10,17,19.207929582925743,599.9046598468976,24.49295122778996,2.458545978019451,0.7945790479188641,35,607
HDFC Bank,BiLSTM,10,18,12.421561679494438,288.55603296302354,16.98693712718757,1.639072992671717,0.9011918743302516,54,607
HDFC Bank,LSTM,15,16,45.185667525890246,2701.2718357863587,51.9737610317587,5.7569485615846165,0.04337939160868931,11,602
HDFC Bank,LSTM,15,17,16.592010092497652,483.2095709794759,21.982028363630956,2.162531852428857,0.8288775577314946,21,602
HDFC Bank,LSTM,15,18,25.160988031431668,885.9998480943929,29.765749580589986,3.241956354548407,0.686234571993035,33,602
HDFC Bank,BiLSTM,15,16,14.648706379126857,357.5373641886925,18.908658444974158,1.9168543873146795,0.8733827501839533,32,602
HDFC Bank,BiLSTM,15,17,14.513437366168743,353.45918974596503,18.80051035865689,1.8866494434145251,0.8748269831059583,34,602
HDFC Bank,BiLSTM,15,18,12.077030625454206,262.10023015273396,16.189509879941824,1.5868331637272588,0.9071805812704439,42,602
HDFC Bank,LSTM,20,16,15.151197679478102,386.03698581679214,19.647823946096224,1.9759687903365888,0.8598584075816376,30,597
HDFC Bank,LSTM,20,17,16.76983489223459,457.07074058608663,21.379212814930455,2.1811957462471376,0.8340712838744061,31,597
HDFC Bank,LSTM,20,18,32.4396325499568,1501.076850669572,38.74373305025694,4.13498637825125,0.4550695712482593,19,597
HDFC Bank,BiLSTM,20,16,17.533029016338183,497.134656683402,22.29651669394576,2.2659305463670685,0.8195270272184958,25,597
HDFC Bank,BiLSTM,20,17,13.619595577169687,317.39126557904154,17.815478258498747,1.76549430568441,0.8847786118632796,69,597
HDFC Bank,BiLSTM,20,18,13.959076490034798,329.4215379061245,18.149973496017136,1.81912375528009,0.8804113061825123,29,597
HDFC Bank,LSTM,30,16,16.891351495122162,474.5391186560722,21.783918808517264,2.1825314557448827,0.8235332328823504,25,587
